0,1,2
1.24,0.05,0.27
1.18,-0.11,0.52
0.59,0.98,0.64
0.77,0.93,0.85
0.7,1.72,0.35
0.94,1.9,0.78
0.61,1.8,0.36
0.91,1.93,0.99
0.56,2.0,1.01
0.62,1.85,0.35
0.95,1.19,0.27
0.72,0.96,0.4
1.37,-0.84,-0.19
1.29,-0.86,-0.15
-0.33,0.1,0.28
0.18,-0.23,0.76
1.45,0.9,-0.13
1.41,0.92,-0.08
0.71,-0.91,1.1
0.59,-1.03,1.12
0.07,-2.0,1.2
0.08,-2.0,1.09
0.07,1.13,1.25
0.07,1.13,1.25
1.33,0.98,-0.07
1.39,0.83,-0.19
0.4,-1.97,1.15
0.15,-2.0,1.38
0.96,1.47,0.33
0.86,1.15,0.39
0.63,-1.63,1.03
0.52,-1.83,1.15
1.11,2.0,0.74
0.61,2.0,1.25
1.4,-0.48,0.2
1.39,-0.5,0.13
0.25,-1.98,1.25
0.31,-1.96,1.14
0.52,1.97,0.51
0.9,1.94,0.32
1.37,-0.68,0.06
1.3,-0.67,0.18
0.06,-2.0,1.1
0.07,-2.0,1.16
0.88,1.94,0.2
1.21,1.8,-0.18
1.17,-0.83,0.27
1.07,-0.74,0.46
0.19,1.49,1.06
0.17,1.93,1.62
1.31,-0.5,0.37
1.4,-0.5,0.16
0.06,-0.89,1.47
0.39,-0.1,0.23
1.31,0.78,0.07
1.31,0.79,-0.06
0.04,-2.0,1.27
0.07,-1.9,1.13
0.99,0.8,0.69
1.15,0.81,0.37
0.17,-2.0,1.54
0.07,-2.0,1.64
1.17,0.78,0.36
1.34,0.9,0.1
0.05,-1.63,1.17
0.03,-1.36,1.05
1.32,0.29,0.1
1.2,0.13,0.24
-0.06,-1.32,1.05
-0.04,-1.03,0.98
1.43,-0.35,0.08
1.28,-0.52,0.14
0.94,-0.19,1.23
0.19,0.35,0.29
1.57,-0.4,-0.11
1.34,-0.31,0.17
0.19,0.97,1.77
-0.18,0.9,0.92
1.49,-0.36,-0.15
1.42,-0.4,-0.02
0.84,0.68,0.29
0.31,0.56,-0.11
1.31,-0.53,0.05
1.4,-0.66,-0.34
0.64,1.91,0.48
1.03,1.87,0.43
0.61,-0.65,1.17
-0.34,-0.14,0.1
0.91,-0.89,0.72
0.96,-0.85,0.65
1.0,1.83,-0.07
0.8,1.48,0.36
0.03,-1.91,1.22
0.06,-1.71,1.13
1.52,-0.4,-0.12
1.51,-0.46,-0.12
0.23,1.82,1.67
0.21,1.81,1.15
0.45,-1.6,1.2
0.5,-1.8,1.06
1.49,0.7,-0.09
1.42,0.79,-0.06
0.34,-0.14,0.98
0.41,-0.07,0.6
1.34,-0.5,0.23
1.25,-0.53,0.35
0.08,1.32,0.86
0.52,1.55,1.22
0.74,-1.11,0.93
0.67,-1.12,1.0
1.27,0.08,0.22
1.27,0.08,0.22
0.17,2.0,0.79
0.82,2.0,1.0
-0.01,-1.92,1.23
0.01,-1.7,1.1
1.25,-0.59,0.3
1.12,-0.74,0.44
0.99,1.55,0.05
0.96,1.31,0.18
0.17,0.6,0.12
0.4,0.95,1.19
0.18,-2.0,1.17
0.24,-2.0,1.17
0.94,-0.69,0.6
0.92,-0.75,0.71
1.33,0.81,-0.03
1.38,0.88,-0.08
0.65,2.0,1.37
0.51,2.0,1.39
0.02,-2.0,1.43
-0.01,-2.0,1.44
1.35,-0.49,-0.0
1.42,-0.54,-0.11
1.06,2.0,0.27
0.53,2.0,0.88
0.25,-1.79,1.54
0.31,-1.93,1.54
1.16,0.92,0.48
1.2,0.91,0.28
0.04,-0.71,0.92
0.41,-0.51,0.97
1.28,-0.47,0.14
1.36,-0.7,-0.17
0.31,0.28,0.77
0.15,0.45,0.84
1.0,1.14,0.22
1.03,0.98,0.37
1.09,-0.85,0.05
0.93,-0.79,0.43
0.28,-2.0,1.13
0.14,-2.0,1.2
0.58,1.33,1.2
0.71,1.73,1.35
1.07,0.85,0.39
1.07,0.85,0.39
0.95,-0.7,0.63
0.8,-0.72,0.79
-0.07,-0.6,0.3
-0.07,-0.6,0.3
0.08,1.47,1.32
0.66,1.37,0.93
-0.08,1.29,1.13
0.11,1.3,0.63
0.52,1.84,0.64
-0.24,2.0,0.43
1.05,1.93,-0.03
1.05,1.93,-0.03
1.26,0.19,0.27
1.26,0.03,0.29
1.23,-0.5,0.37
1.32,-0.58,0.33
-0.02,-2.0,1.45
-0.07,-2.0,1.44
0.93,1.97,0.7
0.79,1.98,0.64
0.56,1.96,0.22
0.91,1.99,0.42
0.29,1.46,0.82
0.7,1.87,1.18
0.64,-0.2,0.4
-0.14,0.12,0.25
0.4,-1.76,1.17
0.3,-1.83,1.28
1.48,-0.39,0.05
1.41,-0.35,0.07
1.5,-0.35,-0.01
1.49,-0.34,-0.11
0.55,-1.11,1.05
0.34,-1.47,1.16
0.13,-1.12,1.07
0.02,-0.95,1.32
0.87,2.0,0.11
0.61,2.0,1.02
1.23,0.87,0.08
1.3,0.82,-0.01
1.14,-0.81,0.6
1.06,-0.81,0.62
0.4,-1.79,1.27
0.38,-1.91,1.25
0.09,-1.47,1.06
0.08,-1.11,1.0
0.77,2.0,1.58
0.21,2.0,0.59
1.33,0.76,-0.07
1.27,0.73,0.02
1.47,-0.55,-0.35
1.47,-0.6,-0.08
0.47,-1.43,1.39
0.42,-1.65,1.28
0.09,-2.0,1.26
0.12,-2.0,1.25
0.17,1.38,1.23
0.08,1.36,1.12
0.84,1.39,0.28
0.78,1.1,0.59
1.16,-0.85,0.38
1.04,-0.93,0.55
0.02,-1.82,1.22
0.04,-1.59,1.09
0.89,1.07,0.74
1.1,0.95,0.32
0.73,-0.85,0.8
0.58,-0.97,1.01
0.06,-0.67,0.92
0.15,-0.56,0.92
0.98,1.78,0.21
0.85,1.54,0.06
1.5,-0.24,-0.18
1.45,-0.3,-0.09
0.24,-1.88,1.49
0.24,-1.88,1.49
0.73,2.0,0.27
0.73,2.0,0.27
1.21,-0.53,0.29
1.22,-0.71,0.42
0.09,-2.0,1.37
0.11,-1.88,1.3
1.01,1.85,-0.03
1.04,1.93,0.25
0.53,-0.79,1.08
0.66,-0.79,0.8
0.57,1.2,1.03
0.58,1.28,1.27
1.35,0.85,0.08
1.27,0.43,0.2
0.51,-1.16,1.43
0.53,-1.44,1.35
0.35,2.0,1.74
0.45,2.0,1.08
0.82,-0.86,0.78
0.82,-0.86,0.78
0.11,0.25,0.64
0.22,0.6,0.6
1.43,0.86,-0.01
1.37,0.98,-0.11
1.41,-0.85,-0.25
1.37,-0.96,-0.3
0.77,-1.37,0.86
0.63,-1.52,0.86
0.54,-1.56,0.96
0.4,-1.74,1.13
0.42,-2.0,1.14
0.34,-2.0,1.39
0.06,-1.55,1.03
0.12,-1.2,1.02
1.05,2.0,0.17
1.07,1.79,0.09
1.22,0.13,0.36
1.32,-0.07,0.31
0.43,-1.02,1.24
0.54,-1.09,1.14
0.27,-2.0,1.41
0.22,-1.96,1.42
-0.05,-1.6,1.04
0.02,-1.14,0.97
0.16,-0.65,1.0
0.16,-0.65,1.0
0.04,-0.83,1.2
0.14,-0.18,0.34
-0.06,-1.94,1.22
-0.08,-1.86,1.1
0.32,0.41,1.26
-0.12,0.97,1.54
1.36,0.95,-0.11
1.29,0.71,0.21
0.11,-2.0,1.38
0.11,-2.0,1.38
0.95,2.0,0.26
1.3,1.98,-0.07
0.74,-0.87,0.7
0.62,-0.8,0.88
