0,1,2
0.83,0.43,0.54
0.12,0.84,0.89
0.35,0.62,1.04
0.31,0.83,1.03
0.47,0.68,1.14
0.49,0.86,0.97
0.5,0.83,1.0
0.95,0.43,0.24
0.95,0.43,0.16
0.77,-0.65,0.62
0.84,-0.56,0.94
0.92,-0.59,0.66
0.92,-0.59,0.66
0.92,-0.24,0.42
0.99,0.26,0.53
0.98,0.22,0.49
1.03,0.06,0.62
0.87,-0.61,0.84
0.76,-0.79,0.52
0.71,-0.55,0.68
0.6,-0.63,0.65
0.51,-0.09,0.63
0.55,-0.12,0.71
0.5,0.23,0.65
0.46,0.34,0.67
0.56,-0.67,0.97
0.58,-0.65,0.87
0.94,-0.03,0.35
1.07,0.11,0.56
0.49,0.71,0.68
0.44,0.68,0.55
0.85,0.4,0.48
0.83,0.41,0.41
0.78,-0.84,0.87
0.8,-1.02,0.82
0.57,-0.27,0.83
0.53,-0.16,0.64
0.61,-0.1,0.83
0.49,-0.03,0.89
0.58,-0.71,0.76
0.53,-0.63,1.01
0.85,-0.53,0.44
0.9,-0.52,0.57
0.94,0.24,0.19
0.9,0.17,0.22
0.52,0.7,0.66
0.7,0.63,0.81
0.5,0.62,1.02
0.46,0.73,1.08
0.6,0.92,0.91
0.34,0.87,0.58
0.7,0.7,0.66
0.81,0.58,0.55
0.79,0.52,0.53
0.87,0.44,0.46
0.7,0.64,0.65
0.79,0.51,0.56
0.93,0.39,0.29
0.94,0.18,0.28
0.94,0.14,0.44
1.0,0.37,0.47
0.87,0.34,0.35
0.86,0.37,0.41
0.86,0.56,0.42
0.84,0.56,0.37
0.93,0.25,0.34
0.95,0.18,0.42
0.9,-0.39,0.44
0.87,-0.48,0.54
0.88,0.43,0.5
0.88,0.44,0.41
0.59,-0.11,0.72
0.61,-0.17,0.83
0.82,-0.71,0.59
0.83,-0.61,0.76
0.73,0.89,0.93
0.3,0.88,0.45
0.66,-0.77,0.54
0.56,-0.63,0.62
0.93,-0.5,0.57
0.93,-0.43,0.64
0.89,0.27,0.27
0.92,0.19,0.23
0.72,0.47,0.58
0.85,0.53,0.55
0.62,0.75,0.67
0.79,0.72,0.66
0.53,0.78,0.67
0.69,0.59,0.74
0.55,0.67,0.76
0.72,0.6,0.83
0.7,0.69,0.79
0.55,0.82,0.65
0.23,0.73,1.12
0.23,0.75,1.11
0.61,-0.47,0.82
0.53,-0.42,1.0
0.83,-0.43,0.55
0.89,-0.28,0.67
0.37,0.69,0.99
0.31,0.77,1.13
