0,1,2
0.82,-0.04,0.53
0.83,-0.04,0.54
0.17,0.69,0.5
0.18,0.73,0.43
0.17,-0.25,0.94
0.17,-0.29,0.93
0.13,-0.06,0.92
0.15,-0.04,0.94
0.3,0.13,0.86
0.3,0.17,0.87
0.13,-0.26,0.96
0.09,-0.26,0.99
0.12,0.18,0.94
0.14,0.18,0.92
0.2,0.25,0.89
0.22,0.22,0.88
0.27,0.19,0.88
0.29,0.18,0.85
0.27,0.08,0.9
0.24,0.09,0.89
0.15,-0.16,0.93
0.14,-0.2,0.94
0.09,-0.02,0.99
0.1,-0.02,0.98
0.29,-0.02,0.82
0.3,-0.08,0.81
0.17,0.16,0.92
0.19,0.14,0.91
0.01,-0.26,1.08
0.0,-0.25,1.07
0.06,-0.28,1.03
0.04,-0.24,1.04
0.02,-0.16,1.04
0.03,-0.14,1.03
0.04,-0.23,1.05
0.05,-0.22,1.02
0.17,-0.15,0.92
0.17,-0.19,0.92
0.02,-0.28,1.04
0.04,-0.27,1.04
0.2,0.13,0.92
0.2,0.12,0.93
0.24,0.01,0.89
0.23,0.04,0.89
0.31,0.13,0.86
0.32,0.16,0.83
0.19,0.05,0.92
0.2,0.04,0.92
0.16,0.06,0.93
0.19,0.05,0.91
0.16,0.05,0.93
0.17,0.07,0.92
0.28,0.06,0.83
0.27,0.07,0.83
0.28,0.21,0.86
0.3,0.18,0.86
0.3,0.2,0.84
0.3,0.17,0.84
0.24,0.04,0.89
0.21,0.03,0.9
0.27,0.13,0.82
0.28,0.11,0.83
0.24,0.1,0.86
0.24,0.05,0.86
0.01,-0.24,1.07
0.03,-0.25,1.04
0.19,-0.09,0.89
0.18,-0.11,0.87
0.11,-0.11,0.99
0.11,-0.05,0.96
0.29,0.21,0.84
0.28,0.22,0.84
0.21,0.06,0.88
0.16,0.04,0.89
0.07,-0.27,0.98
0.07,-0.3,0.97
0.01,-0.23,1.04
0.02,-0.24,1.04
0.16,-0.05,0.93
0.18,-0.03,0.92
0.31,0.14,0.86
0.32,0.19,0.84
0.29,0.22,0.82
0.3,0.23,0.83
0.23,0.05,0.84
0.24,0.02,0.88
0.23,0.04,0.87
0.21,-0.0,0.88
0.3,0.23,0.86
0.3,0.19,0.87
0.19,0.1,0.93
0.19,0.1,0.93
0.15,-0.01,0.95
0.17,-0.0,0.95
0.08,-0.13,1.0
0.1,-0.13,0.98
0.07,-0.18,1.02
0.11,-0.17,1.0
0.14,-0.07,0.95
0.17,-0.05,0.94
0.04,-0.16,1.03
0.07,-0.17,1.01
0.21,0.1,0.92
0.22,0.07,0.91
0.27,0.16,0.86
0.27,0.09,0.84
0.23,0.13,0.89
0.27,0.11,0.85
0.18,-0.03,0.94
0.18,-0.01,0.92
0.1,-0.02,0.96
0.12,-0.01,0.95
0.2,0.02,0.92
0.2,0.02,0.92
0.31,0.17,0.82
0.28,0.21,0.85
0.03,-0.24,1.0
0.02,-0.29,1.01
0.21,0.02,0.92
0.21,0.07,0.91
0.28,0.23,0.84
0.28,0.21,0.84
0.18,-0.12,0.89
0.13,-0.17,0.9
0.04,-0.34,1.03
0.01,-0.35,1.04
0.02,-0.33,1.03
0.02,-0.33,1.03
0.12,-0.1,1.0
0.13,-0.04,0.97
0.23,0.03,0.88
0.23,0.03,0.88
0.04,-0.25,1.01
0.0,-0.25,1.01
0.19,0.12,0.92
0.19,0.12,0.92
0.12,-0.24,0.94
0.13,-0.27,0.95
0.03,-0.31,1.01
0.03,-0.27,1.0
0.3,0.05,0.82
0.31,0.07,0.83
0.02,-0.31,1.04
0.03,-0.31,1.05
0.05,-0.16,1.01
0.04,-0.17,1.03
0.19,0.05,0.89
0.17,0.0,0.9
0.3,0.2,0.85
0.29,0.17,0.85
0.27,0.19,0.86
0.31,0.16,0.84
0.19,0.01,0.93
0.21,0.01,0.93
0.31,0.16,0.82
0.31,0.16,0.82
0.05,-0.24,1.04
0.05,-0.19,1.04
0.26,0.22,0.84
0.27,0.24,0.87
0.17,-0.09,0.89
0.17,-0.09,0.89
0.04,-0.23,1.08
0.04,-0.23,1.08
0.33,0.1,0.85
0.31,0.16,0.86
0.08,-0.25,0.98
0.05,-0.25,0.99
0.23,0.16,0.86
0.23,0.15,0.87
0.02,-0.28,1.04
0.02,-0.3,1.05
0.29,0.08,0.84
0.29,0.08,0.84
0.2,0.11,0.91
0.21,0.05,0.92
0.13,-0.26,0.94
0.13,-0.28,0.97
0.22,0.03,0.89
0.24,0.06,0.9
0.21,-0.14,0.87
0.19,-0.15,0.89
0.13,-0.0,0.94
0.14,0.05,0.93
0.24,0.08,0.85
0.24,0.08,0.85
0.03,-0.3,1.05
0.02,-0.31,1.04
0.16,-0.06,0.96
0.17,-0.01,0.93
0.29,0.24,0.84
0.3,0.22,0.85
0.24,-0.02,0.87
0.23,-0.05,0.87
0.18,-0.21,0.9
0.17,-0.21,0.9
0.15,-0.18,0.9
0.15,-0.18,0.9
0.27,0.05,0.84
0.26,-0.02,0.83
0.31,0.19,0.83
0.3,0.21,0.85
0.23,0.22,0.88
0.24,0.16,0.86
0.19,-0.05,0.92
0.21,0.01,0.91
0.11,-0.03,0.98
0.11,0.03,0.97
0.04,-0.21,1.06
0.04,-0.21,1.06
0.31,0.15,0.83
0.31,0.15,0.83
0.29,0.09,0.84
0.24,0.09,0.84
0.13,-0.26,0.95
0.15,-0.31,0.95
0.05,-0.21,1.03
0.06,-0.15,1.03
0.23,0.17,0.9
0.25,0.19,0.9
0.3,0.05,0.83
0.31,0.04,0.83
0.28,0.09,0.84
0.25,0.08,0.84
0.1,-0.31,0.98
0.1,-0.33,0.99
0.12,0.04,0.94
0.16,0.07,0.91
0.28,0.06,0.82
0.3,0.03,0.82
0.16,-0.23,0.9
0.17,-0.23,0.93
0.04,-0.2,1.05
0.03,-0.21,1.02
0.32,0.13,0.82
0.32,0.15,0.83
0.07,-0.27,1.0
0.06,-0.31,0.98
0.06,-0.24,1.04
0.05,-0.19,1.03
0.03,-0.17,1.03
0.05,-0.17,1.05
0.08,-0.13,1.03
0.11,-0.02,0.99
0.3,0.14,0.84
0.3,0.14,0.84
0.13,-0.22,0.94
0.12,-0.28,0.95
0.17,-0.02,0.91
0.19,0.06,0.9
0.29,0.19,0.83
0.28,0.13,0.84
0.1,-0.3,0.95
0.09,-0.33,0.99
0.2,0.07,0.9
0.23,0.13,0.91
0.23,-0.05,0.86
0.23,-0.07,0.89
0.15,-0.22,0.9
0.15,-0.26,0.91
-0.0,-0.25,1.05
-0.0,-0.27,1.07
0.29,0.17,0.84
0.29,0.15,0.82
0.01,-0.33,1.05
0.02,-0.31,1.05
0.2,0.05,0.88
0.21,0.01,0.9
0.29,0.12,0.84
0.3,0.14,0.83
0.31,0.12,0.86
0.31,0.14,0.84
0.32,0.11,0.84
0.3,0.08,0.84
0.06,-0.25,0.99
0.05,-0.2,0.98
0.06,-0.18,1.03
0.09,-0.09,1.0
0.01,-0.27,1.08
0.03,-0.28,1.05
0.14,-0.22,0.92
0.13,-0.23,0.94
0.07,-0.16,1.02
0.11,-0.07,1.0
